config_id,config_name,baseline_success_rate,hybrid_success_rate,baseline_time,hybrid_time,baseline_bytes,hybrid_bytes,sessions,duration,generator.preferred_digit,generator.force_semantic,strategist.threshold,strategist.human_interval,synthetic_human.lifetime
0,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.03080230951309204,0.002760767936706543,16064.5,1022.5,2,30,null,False,1,1,10
1,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.00968170166015625,0.007159888744354248,4618.0,4093.5,2,30,null,False,1,1,60
2,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.022560298442840576,0.011915445327758789,10952.0,6899.0,2,30,null,False,1,5,10
3,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.01665198802947998,0.008850693702697754,12694.5,5243.0,2,30,null,False,1,5,60
4,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,0.0,1.0,,0.08218657970428467,17072132.5,69799.0,2,30,null,False,2,1,10
5,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,0.0,1.0,,0.15744245052337646,17924372.5,48569.5,2,30,null,False,2,1,60
6,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,0.0,1.0,,0.1059190034866333,18267749.5,50236.5,2,30,null,False,2,5,10
7,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,0.5,1.0,7.698765754699707,0.042209506034851074,11904441.0,25664.0,2,30,null,False,2,5,60
8,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.0011892914772033691,0.0008273124694824219,662.5,348.5,2,30,null,True,1,1,10
9,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0008755922317504883,0.0005047917366027832,240.0,171.5,2,30,null,True,1,1,60
10,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.002137482166290283,0.0007163286209106445,519.5,149.5,2,30,null,True,1,5,10
11,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.001232743263244629,0.0008081793785095215,206.0,240.0,2,30,null,True,1,5,60
12,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.12980139255523682,0.0013208389282226562,100784.5,1033.0,2,30,null,True,2,1,10
13,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.13271212577819824,0.002852797508239746,107969.5,1649.5,2,30,null,True,2,1,60
14,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.197981595993042,0.0021141767501831055,161802.5,979.0,2,30,null,True,2,5,10
15,sessions=2__duration=30__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.12260890007019043,0.002678394317626953,94942.5,1776.0,2,30,null,True,2,5,60
16,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.012880802154541016,0.014136075973510742,4223.5,4066.0,2,30,0,False,1,1,10
17,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.01961207389831543,0.023713409900665283,7280.5,9146.0,2,30,0,False,1,1,60
18,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.008888721466064453,0.03742837905883789,2310.0,17283.5,2,30,0,False,1,5,10
19,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.022091388702392578,0.012942671775817871,6273.0,8082.0,2,30,0,False,1,5,60
20,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,0.0,1.0,,0.015910863876342773,18227259.5,9063.0,2,30,0,False,2,1,10
21,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,0.0,1.0,,0.029841065406799316,13919701.0,16691.5,2,30,0,False,2,1,60
22,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,0.0,1.0,,0.04479646682739258,13837166.0,26996.5,2,30,0,False,2,5,10
23,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,0.0,1.0,,0.010750055313110352,19246293.5,6166.5,2,30,0,False,2,5,60
24,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.001460731029510498,0.001120448112487793,390.0,246.5,2,30,0,True,1,1,10
25,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0010098814964294434,0.001233816146850586,424.0,239.5,2,30,0,True,1,1,60
26,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.001419663429260254,0.0022809505462646484,369.5,526.5,2,30,0,True,1,5,10
27,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.0008459687232971191,0.0012192726135253906,329.0,395.0,2,30,0,True,1,5,60
28,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.2672252655029297,0.004376053810119629,140786.0,1956.0,2,30,0,True,2,1,10
29,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.17801296710968018,0.004426240921020508,52730.0,1532.0,2,30,0,True,2,1,60
30,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.3814256191253662,0.0021741390228271484,160838.5,729.5,2,30,0,True,2,5,10
31,sessions=2__duration=30__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.4603971242904663,0.0032880306243896484,361301.5,1016.5,2,30,0,True,2,5,60
32,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.015337228775024414,0.017075955867767334,4584.0,4107.0,2,30,7,False,1,1,10
33,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.00896453857421875,0.04267477989196777,2534.5,10003.5,2,30,7,False,1,1,60
34,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.052568912506103516,0.03484290838241577,15588.0,6775.5,2,30,7,False,1,5,10
35,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.0021001100540161133,0.008708536624908447,750.5,1824.5,2,30,7,False,1,5,60
36,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,0.0,1.0,,0.06434416770935059,12359709.0,30581.5,2,30,7,False,2,1,10
37,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,0.5,1.0,25.769007444381714,0.05012381076812744,15874533.5,38777.5,2,30,7,False,2,1,60
38,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,0.0,1.0,,0.11682724952697754,18284490.0,38717.5,2,30,7,False,2,5,10
39,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,0.5,1.0,14.66479229927063,0.05553114414215088,13869338.5,18400.0,2,30,7,False,2,5,60
40,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.0009142160415649414,0.0011439919471740723,185.5,233.0,2,30,7,True,1,1,10
41,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0011379718780517578,0.000929713249206543,199.0,178.5,2,30,7,True,1,1,60
42,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.0011428594589233398,0.0017507672309875488,254.0,326.5,2,30,7,True,1,5,10
43,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.0017154216766357422,0.0013818144798278809,369.5,272.0,2,30,7,True,1,5,60
44,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.7000138759613037,0.003659367561340332,205630.0,2161.0,2,30,7,True,2,1,10
45,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.2236652374267578,0.0025260448455810547,118311.0,1000.0,2,30,7,True,2,1,60
46,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.26424920558929443,0.0028585195541381836,142057.0,1289.0,2,30,7,True,2,5,10
47,sessions=2__duration=30__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.3378545045852661,0.0028988122940063477,225826.5,936.0,2,30,7,True,2,5,60
48,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.008801758289337158,0.009186923503875732,5912.0,5074.0,2,60,null,False,1,1,10
49,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.007803022861480713,0.009565293788909912,4904.5,4604.0,2,60,null,False,1,1,60
50,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.01261138916015625,0.014112532138824463,8717.0,5472.5,2,60,null,False,1,5,10
51,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.015071213245391846,0.006555676460266113,7546.0,2292.5,2,60,null,False,1,5,60
52,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,0.0,1.0,,0.05183136463165283,33661238.5,44390.5,2,60,null,False,2,1,10
53,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,0.0,1.0,,0.024165034294128418,37421195.0,17948.5,2,60,null,False,2,1,60
54,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,0.5,1.0,24.860883474349976,0.16598689556121826,26979619.0,26508.0,2,60,null,False,2,5,10
55,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,11.627663254737854,0.06246531009674072,6966780.5,14437.5,2,60,null,False,2,5,60
56,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.0007625818252563477,0.0013417601585388184,219.5,314.5,2,60,null,True,1,1,10
57,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0017513632774353027,0.0010325908660888672,335.5,205.5,2,60,null,True,1,1,60
58,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.0007008910179138184,0.0008869767189025879,185.5,149.5,2,60,null,True,1,5,10
59,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.0006797909736633301,0.003625929355621338,138.0,772.0,2,60,null,True,1,5,60
60,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.1994718313217163,0.002373218536376953,92956.5,1517.5,2,60,null,True,2,1,10
61,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.5814545154571533,0.0018954277038574219,239368.5,1158.5,2,60,null,True,2,1,60
62,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.312630295753479,0.0034579038619995117,127677.0,902.5,2,60,null,True,2,5,10
63,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.19747090339660645,0.003968238830566406,81038.0,946.0,2,60,null,True,2,5,60
64,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.021829545497894287,0.023299694061279297,5224.0,4822.0,2,60,0,False,1,1,10
